Author Name,Rating,Review Text,Review Date,Sentiment (Rating-Based)
ثامر الشهراني,5,الكوفي اجواءه جميله وقهوته لذيذه عندهم كركديه لذيذ وتعامل طيب  من الاخ عبدالعزيز الحربي شكرا له,2024-12-04 15:25:42.377000+00:00,Positive
Etab Alharbi,5,القهوه خورافيه موزونه لذيذه جدا جدا جربت كابتشينو وفلات وايت وادمنت قهوتهم للامانه والحلويات ماجربت الا بونق التشوكلت فوق الوصف تذوب في الفم 🤍🤍👍,2024-12-03 17:43:05.470000+00:00,Positive
Amjad Saleh,2,"لما وصلت المكان كانوا ينظفون ف صوت المكنسة كان عالي جداً ومزعج واستمر لفترة طويله، كان بالإمكان التنظيف في وقت مايكون فيه زباين، نقطه ثانية يُفضل يكون فيه دورات مياه خاصة للنساء.

نجمتين لان القهوه جيده إلى حد ما.",2024-12-02 16:29:43.842000+00:00,Negative
Afnan -,3,"كنت اجيهم تقريبا كل يوم
بس زعلوني يوم تعودوا علي ماعاد صارو يخدومني
صاروا يعاملوني معاملة انتِ ببيتك اخدمي نفسك 🙂",2024-12-02 04:28:19.130000+00:00,Neutral
V Solid,5,"مساء الخير وأحلى تحية، الصراحة هالمكان له مكانة خاصة بقلبي، كل شي فيه رهيب! الخدمة والعمال قمة في الأخلاق والاحترافية، والمكان نفسه يفتح النفس ومرتب بطريقة تخليك ترتاح. البرزنتيشن؟ 10/10 ما شاء الله، مهما مدحنا ما نوفيهم حقهم. أنا أجي من مكان بعيد عشانهم، وحمّستني أجرب المشروب الجديد اللي جربت منه عينة وكان رهيب.

لكن عندي ملاحظة صغيرة وأتمنى تتقبلونها بصدر رحب. الكركديه اللي تقدمونه للأسف تغير، وأنا من عشاقه وأجي مخصوص عشان أطلبه، لكن الطعم الجديد ما أعجبني بصراحة، صار عادي، بعكس الطعم القديم اللي كان مميز وما له مثيل، وأنا جربت كركديه بكل الكافيهات وما لقيت مثله. رجائي ترجعون الطعم القديم، لأنه كان فعلاً شيء مميز.

باقي الأشياء عندكم رهيبة، والقهوة بالمخ ما شاء الله. الله يبارك لكم ويزيدكم نجاح!",2024-11-30 23:47:53.092000+00:00,Positive
M 10,5,يعطيكم العافيه البن ممتاز جدا ولا احسن منها كلها الا الكاشير السعودي صراحه شخص روحه حلوه ومتعاون وبشوش الله يوفقه,2024-11-30 22:48:45.376000+00:00,Positive
‪SARAH AL-OTAIBI (asarah)‬‏,5,القهوه المفضله بالنسبه لي كليوم وانا عندكم ، اتكلم عن تعامل الموظفين الراقي ولا عن لذاذه القهوه او الماتشا او الحلاا او المكان ، وصادفت امس موظف محترم راقي حابين نشكره على حسن تعامله واستضافته، وجربنا الكركديه الجديد وراح يكون الطلب المعتمد دائماً ان شاءلله👍🏻,2024-11-30 20:50:26.967000+00:00,Positive
مها محمد,2,جربت كيكة الماربل ناشفه ماحبيتها وماكملتها وجربت كروسون اللوز  ماحبيته وكروسون اللبنه بالزعتر للأمانه ماحبيت الاكل بس القهوه حلوه والخدمه حلوه الي يشتغلون فيه بشوشين  وحبيت المويه تقدم مجانا  يشكرون على حسن التعامل,2024-11-29 22:10:44.921000+00:00,Negative
A,5,طعم حلو و اسعار ممتازه و خدمه رائعه جداً الكاشير اخلاق و متعاون جداً 🤍🤍,2024-11-29 22:05:38.662000+00:00,Positive
عبيد بن صليح,5,المكان جميل جداً وفوق كل هذا طعم البن الحقيقي بكل صراحة كوفي رااايق ❤️👌🏼,2024-11-29 19:01:55.282000+00:00,Positive
Aroob Alsulaiman,5,الكركديه شي شي روووعه ويسرسح ماشالله سمعت انه جديد بالمنيو بعد والموظف عسل عسل أسلوب وتعامل ماشالله❤️,2024-11-29 17:50:09.347000+00:00,Positive
Abdalulrhman Alhwas,5,طلبت قهوة البن يمني كان متوسط المكان تصميمه جميل وطلبنا كركديه حللووو مررره وبرجع عشانه وشكراً,2024-11-29 17:02:53.872000+00:00,Positive
Mohammed Aln,3,جربتها عدة مرات و جربت انواع مختلفه القهوة ، القهوة متوسطه و التحضير جيد و لكن عندهم مشكله بالتنظيم و فوضى تكررت عدة مرات يعني تطلب و تنتظر فترة و بالاخير تلقاهم يصلحون قهوه للي بعدك,2024-11-29 15:15:41.056000+00:00,Neutral
H,5,"جربت عندهم v60 يمني كان فروتي 👍🏼
وقالو لي جربي الكركديه الجديد صراااحه لذيييذ👏🏻
واشكر الموظف عبدالعزيز على حسسن الاستقبال

10/10",2024-11-29 14:52:08.342000+00:00,Positive
FAHAD BJ,5,قهوة لذيذة جدًا وخدمة وجو جيد,2024-11-28 23:15:55.046000+00:00,Positive
Majed Alshammari,5,اشكركم ع الجمال 💛🫡,2024-11-28 04:20:16.334000+00:00,Positive
Bashayer Official,5,جميل تستحق الزيارة، جربت V60 وتراميسو وسينابون رول موزون و لذيذ 👍🏻👍🏻,2024-11-25 16:13:59.652000+00:00,Positive
حنان القرني,5,"الباريستا مدح لنا البُن الاثيوبي وقال على ضمانتي وحرفياً صار البُن المفضل من اليوم ورايح , اليوم نزلوا مشروب كركدية واشكرهم بطل جداً ارجع له مرا ثانيه ✨",2024-11-23 16:13:29.057000+00:00,Positive
Ghrd Ksa,5,"كوفي رائع وجميل ومدير المعرض / ياسر الاحمري تشرفت بلقائه ، راقي جدا في تعامله حببني في الكوفي غير ان الكوفي لذيذ جدا وجميل

القهوه اليمنيه والقهوه الاثيوبيه ( فروتي )
ادمنتها انصح فيها

الوافل جدا لذيذ",2024-11-22 16:25:42.247000+00:00,Positive
Ali Aljadhi,2,عادي جدا الكوفي. قهوة اليوم بأنواعها سيئه,2024-11-21 23:09:07.578000+00:00,Negative
‪jazmein A (JAA)‬‏,4,"جربت افضل واطعم سينامون رول
لذيذه وهشه جدًا وا اظن ماذقت مثل حلاوتها بالرياض

لي عودة اكيد🙏🏻",2024-11-20 10:12:41.738000+00:00,Positive
wafa alshehri,5,"المكان مريح واسعارهم ممتازة وتعامل الجميع بقمة الاحترام ،

ويستاهل صاحب المشروع كل خير أ.ناصر ، وقايم عالمحلات بنفسه ماشاء الله ومتواجد ومهتم👍🏻",2024-11-19 10:28:08.065000+00:00,Positive
Lama Khaled,2,أخذنا قهوة اليوم ثنتين وترامسيو مكتوب أسعار قهوة اليوم الكبير ١٢ والصغيره ٥ وسحبوا من البطاقه ١٣ للكبيره والصغيره ٧ ويوم سألنا ليه الأسعار غير قال هي كذا ولا وضح عمومًا مشيناها بس الترامسيو كان فيه شعر ويوم نادينا الموظف وقلنا له قال مالي دخل من الشركه قلنا مب مشكله نبي رقم الشركه او المدير قالنا بيجي ٥ وانتظرنا لين ٥ جوا موظفين جديدين سألناهم وين المدير قالوا يجي وحده الظهر🤡 الشي الوحيد اللي يشفع شوي القهوه رغم فيه تلاعب بالأسعار واستهتار ليت تنتبهون ونظافة الحمام سيئه,2024-11-14 22:26:42.697000+00:00,Negative
SADEEM,4,الدريب مو مره لكن الاسبريسو جميل,2024-11-12 17:48:24.142000+00:00,Positive
Maddo,3,المكان جميل واصناف متنوعة. يعيبه التكييف ماقدرت اشتغل.,2024-11-12 11:31:09.171000+00:00,Neutral
Mona Alhubish,5,المكان بحد ذاته مصمم بشكل رائع، إنه مكان مريح ودافئ للغاية. أنصح به بشدة إذا كنت تبحث عن مكان لطيف لتناول الطعام والعمل أو الدردشة. كان الطعام لذيذًا، وكذلك خدمة العملاء - كان Atikul islam Jewel__ لطيفًا للغاية، عندما أخبرته بمخاوفي بشأن الكرواسون، لم يكتفِ بالاستماع إليّ، بل أحضر لي كرواسون جديدة، ٩.٥/١٠! سأعود مرة أخرى.,2024-11-09 08:41:26.717000+00:00,Positive
shabbir.reviews,5,"مقهى يقدم المشروبات المصنوعة من حبوب البن المحمصة محليا 🫘 تجربة رائعة 😋

باريستا اليوم من بنجلاديش 🇧🇩 قدم السيد أتيكول قهوة لاتيه مصنوعة من حبوب البن الإثيوبية المحمصة الطازجة. تقييمي هو 9 من 10.

لقد طلبت اللوز كرواسون، وكان متوسط. تقييمي هو 7 من 10.

رجل القهوة من كينيا 🇰🇪 كان السيد دان مشغولاً بتشغيل محمصة القهوة العملاقة الصفراء الزاهية. كانت حبوب البن الكولومبية 🫘 ذات سمرة لطيفة.

التقييم العام هو 8 من 10",2024-11-06 05:30:07.606000+00:00,Positive
Nawaf Alkhaldi,5,"قهوة جميلة وأسلوب موظفين جميل وبالأخص الأخ عبد العزيز
مكان يستحق الزيارة اكثر من مرة 🙏",2024-11-05 15:23:58.936000+00:00,Positive
REEM 4444,5,القهوة مضبوطة ومحاصيل متنوعة وكوفي واسع وجلساتة متنوعة .. كروسون التمر لذيذ جداااا .. ارجع علشانه,2024-11-05 10:42:36.257000+00:00,Positive
ابو ريناس,1,يوافق على طلب التطبيقات ومافي الطلب,2024-11-01 23:11:37.961000+00:00,Negative
Aseel smith,2,العامل الهندي الموجود الفجر ياليت يشوفون له حل انك بنظافه ولا الخدمه,2024-10-31 02:58:02.247000+00:00,Negative
OMOX0,5,"المكان جميل جدًا والتصميم متعوب عليه، جربت عندهم الكركديه والهوت تشوكلت مع الكروسون وكانت كلها حلوة،
اما الخدمة كانت جدًا راقية وشكر خاص للأخ غازي ما قصر ابدًا بالاستقبال والاكرام.",2024-10-29 19:31:24.794000+00:00,Positive
old man,4,لمحبي القهوة المختصة انصح بالقهوة لديهم المحصول اليمني رائعة جدا,2024-10-29 17:25:08.424000+00:00,Positive
Mashael,5,"القهوه ماتحتاج تقيم من اجمل واحلى المقاهي في الياسمين  تقيمي لها ( تستحق اكثر من خمس نجوم )
المكان مريح جدا
، القهوه بانواعها وحلوياتهم متنوعه التيراميسو خورافي لازم تجربونه   القهوه بانواعها ✔️
قهوتهم واضح من اجدد انواع المحاصيل عن تجربة ✔️
واخيراً الموظفين جدا رائعين والكاشير  انسان خلوق وجدا رائع في خدمة العملاء
شهادتي فيهم مجروحه ✔️",2024-10-29 14:30:11.288000+00:00,Positive
Ibrahem A,5,قهوة مختصة رايقة للناس الي يحبون الاماكن الهادية للشغل بيعجبكم 👍🏼 خدمة وتعامل جميل من الموظف غازي الله يعطيه العافية,2024-10-28 18:19:43.081000+00:00,Positive
تركي آل عايض,5,البن اليمني لايفوتكم,2024-10-27 02:24:34.220000+00:00,Positive
عبدالرحمن عمر,3,طلبت تراميسو وسبانش لاتيه حار التراميسو عادي جدا ولا يسوى والسبانش لابأس به لكن مدري ليه جاني بارد وارجعه اقوله بارد سخنه ولا شف لك حل ويسوي لي واحد ثاني احر من الاول بشوي، وش السبب ؟ مدري.,2024-10-26 18:22:29.128000+00:00,Neutral
faisal Hq,3,"اول تجربه للبن اليمني كانت لاتوصف من جمالها
لكن التجربه الثانيه للأسف ماكانت بنفس مستوى التحضير",2024-10-26 08:53:33.225000+00:00,Neutral
Alanoud alajlan,5,قهوتهم حلوه✨,2024-10-26 05:35:09.070000+00:00,Positive
Bandar,5,كان يوم القهوة لذيذًا جدًا، شكرًا للسيد غازي على خدماته.,2024-10-24 18:19:39.871000+00:00,Positive
فايز,5,قهوتهم جدا رايقه وموظفينهم محترمين وبالاخص غازي جدا متعاون ومحترم وبشوش واذا بجي مره ثانيه عشانه والله,2024-10-24 18:02:47.971000+00:00,Positive
Abdullatif Mohammed,5,استقبال مميز مليء بالابتسامة والروح الايجابية وفقهم الله,2024-10-22 18:19:37.483000+00:00,Positive
Abdulelah,5,مكان هادي ورايق جدا والقهوه طبعا على مستوى عالي جدا (بشكل خاص اليمنيه) والموظفين جدا محترمين وغازي يعطيه العافيه ماقصر معي من اي شي اسأله عنه وجدا خلوق ومحترم,2024-10-22 16:48:33.015000+00:00,Positive
xDuulz,5,محمصة جميلة وملمومة…والموظف السعودي غازي بشوش ويرحب فيك بالمكان,2024-10-22 16:40:17.181000+00:00,Positive
Saeed Aldawsari,5,قهوة من الاخر والحلى ولا غلطة واللي محلي المكان الطاقم وخصوصاً الاخ غازي ألف شكر لكم,2024-10-22 15:20:58.804000+00:00,Positive
ريما الصرامي,1,"طلبت من ذا شيفز استلام للسياره يقالي اسرع عشان ماتاخر على دوامي !
وللاسف قعدت ساعه انتظر يجيبون لي القهوه لما اتصلت عليهم ؟؟
وجاني الموظف بدون قهوه يسال وش طلبك🙃🫠
صراحة تجربه مستحيل اعيدها",2024-10-21 05:30:23.090000+00:00,Negative
Crystal Alghamdi,5,القهوه اخذت بن يمني صراحه روعه روعه جدداً,2024-10-20 21:05:41.549000+00:00,Positive
اشواق العمري,5,اول مره ازور المكان ، الموظفين ياسر وتركي رائعين جداً وأخلاقهم عاليه وحببوني بالمكان ❤️,2024-10-20 15:08:50.440000+00:00,Positive
Jameel,5,الأجواء رائعة جدًا، والقهوة رائعة للغاية.,2024-10-19 19:20:23.390000+00:00,Positive
Mr. Turki,4,القهوة جدا حلوه حتى البن جدا جيد بس حلا التراميسو جدا سئ,2024-10-19 15:38:35.250000+00:00,Positive
G,5,🫶,2024-10-19 00:51:27.565000+00:00,Positive
aziz ahmed,5,"جربت قهوه اليوم بارد 10/10
سينابون قرفه اتوقع 10/0 ما توقعتها بهذا السوء
ليه اعطيك 5 نجوم لاني جربت فرع برج العنود والعليا للامانه ما قد صادفت موظفين سوا عرب او جنسيات اخرى الا كانو جدا جدا لطيفين ومحترمين وانفسهم طيبه الله يوفقهم النجوم هذي بسبب تعامل الموظفين معي وكل انواع قهوة اليوم جربتها حاره الا امس بارده كلها 10/10",2024-10-18 12:46:43.640000+00:00,Positive
عبدالملك محمد,5,د/غازي رائع,2024-10-12 17:15:38.492000+00:00,Positive
—,5,القهوة الصراحه لذيذه .. البن اليمني مايتفوت .. staff جدا محترفين وتعاملهم راقي,2024-10-12 15:04:34.802000+00:00,Positive
Abdullaziz Saleh,1,"سعر مبالغ فيه على كوب v60 premium سلامات  !!!!!
بسعر 29 ريال على ايش طبعا طلبت وحاسبت بالغلط ما انتبهت السعر
والطعم عادي زيه زي اي قهوه مقطره",2024-10-09 21:07:18.073000+00:00,Negative
Corinne Rosolia,5,قهوتهم جيدة جدًا والموظفين ودودون للغاية!,2024-10-09 12:52:04.450000+00:00,Positive
We A,1,خدمه عملا بالرد سيئة وطلبه قهوه من شهر للحين ماوصلت,2024-10-08 09:29:46.925000+00:00,Negative
Rami Ale,5,مميزين في الخدمه وكريمين الصراحه مكان وااااو يجنن ويرزقهم من,2024-10-06 05:28:54.198000+00:00,Positive
khaled alghanim,1,تجربه   سيى لا تتكررر   قهوه تايلنيدي والقهوه اليمن   الطعم محترق    تفشلت مع ربعي 🆘💔🚨يا طريقه التحضير او البن محمص زياده,2024-10-05 16:45:21.320000+00:00,Negative
Ameer Eshqi,1,مرة مبالغ في اسعار كل شي قهوة ب ٣٢ وكركديه ٢٥ سينابون ب٢٣ وخربط طلبي,2024-10-05 13:14:05.504000+00:00,Negative
عبدالله السيف,5,قهوه جميله الله يجزاه خير غازي على تعامله الجميل وانه شخص بسوم  وتعامله جيد مع زبناءه,2024-10-04 17:29:33.879000+00:00,Positive
تركي السيف,5,"القهوة لذيذة
والحلا لذيذ
والمكان جميل
التعامل راقي
جلسات داخلية وخارجية
واشكر الشاب غازي على تعامله الراقي",2024-10-04 17:28:27.330000+00:00,Positive
Abeer Abdulaziz,3,الوافل لذيذ بس صغير وغالي على حجمه- اعتذر منكم لكن طعم الكركديه سيء مع الهيل اوجعني ما قدرت اكمله اتمنى ما تحطون الهيل معاه ومع ذلك غالي والحجم صغير,2024-10-03 18:02:02.442000+00:00,Neutral
Mohammed A.,5,"اشكر القائمين على قهوة شفل على جهودهم وحرصهم في خدمة العميل وايضا في انتقائهم افضل واجود المحاصيل والايحائات والحقيقة مذاق القهوة ممتاز خصوصا الكلاسيك وفروتي واليمنيه والاثيوبية.
الجو العام رائع في كل الفروع بإستثناء فرع العنود.
خدمة العملاء اعتقد يحتاجون تدريب على أهمية التواصل الايجابي واللي يمثل شفل وأن يكونوا على علم في أخر التحديثات في شفل وأن تكون معلوماتهم متطابقة.
بالنهاية شفل راح يكتسح واتمنى اشوف فروعه موزعه بشكل متنساق في كل مكان في الرياض.",2024-10-03 11:40:50.551000+00:00,Positive
Rawan Khaled,1,اليوم مريته واخذت تيراميسو، بالبدايه حسبالي الكرتون فاضي! يوم فتحته الاقي قطعة اصغر من الحصة المعتادة ودفعت كامل السعر! ليه؟! طيب مابقى الا هي عطني اياه بسعر مناسب.,2024-10-02 18:08:41.638000+00:00,Negative
Muhammad Al tawil,1,مريتهم الساعه السابعه صباحا قهوة اليوم غير متوفره مشوار على الفاضي.,2024-10-02 03:30:25.020000+00:00,Negative
R_vL,2,ماذا حدث للأكواب والأغطية يا مجرفة 😔,2024-10-01 09:37:02.859000+00:00,Negative
omar s bin jabair,5,أتمنى لك كل التوفيق,2024-09-27 11:57:27.816000+00:00,Positive
Muneera A,3,"القهوة جدا عاديه ، والاسعار مرتفعه
المكان حلو رايق",2024-09-25 12:33:34.898000+00:00,Neutral
Bx.M Q,1,كاتبين يقفلون ٢ وصلت ١ تمامًا ويقفلون !!!! عباطه قسم بالله 🙂,2024-09-23 21:58:25.331000+00:00,Negative
Ryn Alghamdi,1,"لو فيه اقل من نجمه والله لاحطها .

نبدا في القهوه ، يعني الان في المملكة وصلنا لمستويات افضل من الي عندكم.
التراميسسو عباره عن "" كيك اليمامه وفوم وكيك اليمامه وكاكاو عليها ""

احتفالية اليوم الوطني لف العجله وانت ونصيبك قدامي كان فيه بنتين وماشاءالله الكاشير كان يقول بهم هه و هه لدرجة ان وقف لهم العجله على "" غن وخذ خصم ١٠٠٪؜ "" ويقول لها غني سارعي ويوم جيته انا حتى لف العجله ما قال لي قال بعطيك كوب قهوه مجاني  فكان ردي وفره لك المهم اني ندمت اني جيتهم وسلامتكم",2024-09-23 15:44:32.130000+00:00,Negative
KHALID,5,طلبت قهوة اليوم القهوة وسبانش لاتيه ولا غلطه للامانه 👏🏻,2024-09-22 17:58:24.011000+00:00,Positive
WALAYF A,5,"من افضل القهاوي اللي زرتها مؤخراً بالرياض
رغم الزحمه الا ان الخدمة كانت سريعه
جربت الايس كارميل لاتيه وكان لذيذ ومميز
جربت الايس دريب مضبوووط
مكان رائع وقهوه لذيذه .. شكراً شفل ✨
بالتوفيق لكم",2024-09-22 17:10:27.517000+00:00,Positive
Abdulaziz 11,1,طلبت من التطبيق وطالع لي انه مكتمل يوم انتظرت قدام ا الفرع 15 دقيقة واقولهم وين الطلب يقول مخلص الطلب اذا ما عندكم القدرة انكم تفعلون التطبيق لا تمكسونه وانتم ماتقدرون,2024-09-21 14:19:24.052000+00:00,Negative
Nouf,5,"القهوة لذيذة والتعامل كان ممتاز
واشكر الكاشير على حسن التعامل والبشاشة على رغم ان المكان كان زحمة جدًا
ملاحظة بسيطة بخصوص اللي يسلمون الطلب كانوا ينسون طلبي لازم اذكرهم ان ما عطيتوني الحلا الفلاني",2024-09-20 22:36:03.554000+00:00,Positive
Sa,5,جميلين كعادتهم,2024-09-20 19:45:06.317000+00:00,Positive
minnie X55,5,المقهى جميل و فعاليه اليوم الوطني رائعه الصراحه بس مشكلته كان زحمه و الوضع فكك شوي بس الحمدلله قدرنا نتقهوى فيه و انصح بالوافل جميييل لا تتعدونه 🤙🏻❤️,2024-09-20 19:27:41.424000+00:00,Positive
Talal Almotairy,5,لاهنت يا غازي عالتعامل و المقهى يسوى ما شاء الله,2024-09-20 19:11:14.131000+00:00,Positive
Os Al,5,غازي افضل واحد,2024-09-20 19:10:24.180000+00:00,Positive
Aʙᴏ Fᴀʜᴀᴅ,5,اشكر الاستاذ غازي وسكسوكته على حسن التعامل ولبق الكلام وجمال السكسوكه,2024-09-20 19:10:16.845000+00:00,Positive
Faisal Fahad Almutairi,5,غازي التوب حي عينه,2024-09-20 19:07:47.888000+00:00,Positive
Zeyad,4,"الخدمة رائعة. الموظفين اكثر من محترمين. القهوة ممتازة ولذيذه. لكن الحلى والمخبوزات شوي تعبانه.

من باب الأمانة ""ميلان | Milan"" كان اكثر من رائع وخدوم.

Thank you Milan, you were more than great!!!",2024-09-20 18:47:26.440000+00:00,Positive
عبدالرحمن الشهراني,5,غازي افضل واحد يستاهل اقسم بالله,2024-09-20 16:52:13.390000+00:00,Positive
L,5,الموظفين السعوديين بشوشين وتعاملهم رائع🙏🏽,2024-09-20 13:30:52.478000+00:00,Positive
i.fares,5,الموظف حمد بن حبيش رجل محترم وكريم يستحق التقدير,2024-09-19 22:20:44.803000+00:00,Positive
ابو زياد,1,"للأسف الحلى طعمه سي مره وكذلك العسكريم
خالطين كل شغلهم بموية ورد",2024-09-19 19:47:38.289000+00:00,Negative
Basoom Al Ebraheem,5,قهوتهم بالراس خيال,2024-09-17 13:29:17.043000+00:00,Positive
محمد الشيباني,5,اشكر أ. غازي على تعامل والابتسامة الجميلة 🤍🌹,2024-09-16 19:10:53.058000+00:00,Positive
Rashed Ali,5,"اشكر الاخ غازي على اخلاقه العالية وابتسامته الجميلة
ماقصر معي الله يعطيه العافية",2024-09-16 17:12:27.868000+00:00,Positive
Eilaff A,5,"من افضل محامص الرياض جودة وطعم وسعر كقهوة او محصول وحلاهم لذيذ جدا ، أوصي الجميع بهم دائما وأبدا

والموظف غازي يشهد الجميع على تعاونه وحسن تعامله مع العملاء انسان ذو معلومات قيمة بالمحاصيل وترشيح المناسب للعميل لاختيار الأفضل يجعل العميل يخرج وهو راضٍ تماماً",2024-09-15 20:21:45.759000+00:00,Positive
علي الرباح,5,"القهوة لذيذة
والحلا لذيذ
والمكان جميل
التعامل راقي
جلسات داخلية وخارجية",2024-09-15 16:41:37.404000+00:00,Positive
Ro D,5,قهوتهم جوده من يفهم بالكيف هذا المكان كله كيف كل شي رائع طاقم العمل والمكان والقهوة👌,2024-09-12 16:05:43.646000+00:00,Positive
راشد بن صالح,5,السلام عليكم ورحمة الله وبركاته من اجمل القهاوي المختصة وانصح فيه مع المخبوزات,2024-09-12 07:57:28.013000+00:00,Positive
فيصل فرزان الشمراني,5,شكراً للمعامله شكراً للجوده اتمنى الكل يقتدي فيكم👍🏼,2024-09-10 10:31:37.849000+00:00,Positive
عبدالله زيد,5,المكان جمميل وتعامل الشباب جميل وخصوصاً الاستاذ غازي شكراً لك,2024-09-10 00:22:58.842000+00:00,Positive
Aziz Al,5,ماقصرو الشباب غازي وعبدالله ولا يهون ابو Jeffery كسبوني كزبون والله,2024-09-09 14:36:42.336000+00:00,Positive
Abdullah BinMohammed,5,"قهوة طيبة،،
جلسات لطيفة،،
الحلى حليل،،
والأسعار مقبولة،،
والطاقم فنان،،
🌹🙏🏼",2024-09-09 02:36:43.575000+00:00,Positive
Fahad12,5,اقوى قهوة فالدنيا,2024-09-08 13:00:43.484000+00:00,Positive
DeVIL,5,اقوى قهوه,2024-09-08 13:00:36.055000+00:00,Positive
Sultan Albalushi,5,موظفين محترمين وطيبين وقهوة جميلة 🤝,2024-09-07 09:40:10.041000+00:00,Positive
محمد العجلان,5,اول تجربة للمحل وكانت اكثر من رائعة. شكرا لحسن الاستضافة. تعامل الاخ غازي اكثر رائع ولطيف,2024-09-06 19:44:18.095000+00:00,Positive
Khaled Almarshedi,2,"عدد العمال اكثر من الزباين و تأخير بالطلب!
طالب من ذا شفز وموجود برا بالسياره و ادق عليهم ما يردون",2024-09-05 19:46:04.919000+00:00,Negative
Pearl,3,القهوه حلوه بس المكان فيه ازعاج قوي بسبب مكاين القهوه! صراحه فكرتها جوا المحل جداً غلط,2024-09-04 07:03:59.105000+00:00,Neutral
‪Mohammed DD (momod)‬‏,5,مكان جميل وقهوة فاخرة وتجربة مميزة أحد أسبابها أ. غازي 🌹,2024-09-03 20:40:43.111000+00:00,Positive
عبدالله المطرودي,1,كان فيه ولد المالك الصغير ازعجنا ماخلانا نركز بشغلنا ، مره زايد صوت الايباد حقه ومره صادمنا بالعربيه حقت العمال .,2024-09-03 13:23:58.139000+00:00,Negative
سعو د,1,جيت هالمكان على التوصيه والتقييم لاكن للاسف اول شي صدمني الكوب غير نظيف ويقول الموظف عادي هذا من برا موب من جواء,2024-09-01 20:25:04.599000+00:00,Negative
Montaha Ibrahim,5,القهوة ممتازة,2024-08-31 16:51:53.957000+00:00,Positive
osama alghamdi,3,الفرع زحمه بأوقات الدوام و قليل اللي يشتغلون فيه,2024-08-31 07:55:10.650000+00:00,Neutral
Naif F,5,قهوة جميلة ومكان اسطوري ورايق,2024-08-30 20:49:00.571000+00:00,Positive
noni n,5,"خيال
الاجواء جميله جداااااا
القهوة لذيذة
التيراميسو خييييييييييييالي  مره لذيذ",2024-08-30 04:20:30.531000+00:00,Positive
Osama Saleh,1,‏السلام عليكم ورحمة الله وبركاته حياكم الله واسعد الله اوقاتكم بكل خير، انا من محبي محمصتكم منذ وقت طويل لكن للاسف حصل لي موقف مؤسف مع احد طاقم عملكم كان سيء جدًا ويعكس امور كثير على الرغم من بساطته وهو عدم اعتراف الموظف بوجود عرض خاص لدي بحكم عمل باحد الجهات المتعاونة مع محمصتكم على الرغم من انه يحلف بعدم وجوده وسوء تعامله بعد اثبات وجود العرض واحراجي مع من اتيت بهم من اجل هذا العرض واعتقد ان اسم الموظف حسب الفاتورة دبسان,2024-08-29 21:35:06.485000+00:00,Negative
AMA,5,مرحبا مكان جميل موظفين رائعين خدومين جدا تعامل راااااااقي الأخت انهار بشوشة صراحه فوق الابداع أخذت ١٠ كيلو وماقصرو معي جدا حبيت اشاركم الصوره من المحل,2024-08-29 13:08:28.843000+00:00,Positive
Sara mansor,5,ميلان 🤍🤍 best barista ever,2024-08-28 07:26:29.069000+00:00,Positive
Nuha Shuflut,1,الي بيروح يشتغل ترى القهوه جدا مزعجه ولا تنفع مكان شغل وروقان، أصوات المكاين مايطفونها ابد ويشتغلون طول الوقت يطحنون ، والمشين كبيره مره ومزعجه و الموظفين ضربهم للقهوه والاجهزه قوي ومزعج مافيه اي هدوء ، جيت اسوي اجتماع وجاني قلق وانا اشتغل ، بالاضافه إلى المواقف الخارجيه لا يوجد مواقف,2024-08-27 11:53:11.620000+00:00,Negative
Mariam,5,"المكان حلو والقهوة حلوة والتعامل طيب
اوصي بتجربة مشروبهم الجديد اتوقع ايس تي حلو ومنعش",2024-08-24 20:48:48.104000+00:00,Positive
Nayef Alsheg,5,"مكان جميل جدا وقهوتهم ممتازه. الجلسات متنوعه ومريحه . محاصيل قهوتهم ايضاً جميله واسعارهم خرافيه . يسوو عروض دائما على الكيلو . والتعامل والخدمه جدا راقيه .

ايضا يوجد مواقف سيارات بالخلف اذا ماحصلتوا على الشارع .",2024-08-24 18:35:45.235000+00:00,Positive
A911,5,مكانه حلو وأجواءه رايقه ومناسبه للعمل او النزهة عندهم طلب اسمه افوقاتو اسكريم مع قهوة لذيذ ومميز .. فيه طاوله للعمل مجهزه بمنافذ شحن وجلسات خارجية مع مكيف صحراوي .. اتمنى يضيفون بطاقة ولاء للعملاء الدائمين,2024-08-24 13:26:13.388000+00:00,Positive
M,5,"من افضل اذا مو افضل قهوة فيك يالرياض
قهوة وخدمة واجواء ١٠/١٠
وشكراً للاخ غازي",2024-08-23 19:00:26.561000+00:00,Positive
ناصر,5,"افضل قهوه ممكن تجربها ف الرياض كله وانصحكم ب الايس دريب اليمني

والشكر موصولل للموظف ؛ غازي ❤️❤️",2024-08-23 18:34:00.812000+00:00,Positive
Sulaiman A.,2,"كان تقييمي السابق بعد تجربة مشروبات الحليب

لكن اليوم جربت الاسبريسو ومع الأسف النتيجة سيئة مع كل الثلاث محاصيل المعروضة، الاثيوبي والكولومبي قوام خفيف جداً وينشف الفم، الكلاسيكي أيضاً خفيف وغير متوازن، يا فيه مشكلة بالمحاصيل أو معايرة الطواحين أو التحضير…

النتيجة هذي ممكن تكون مقبولة من محلات القهوة العادية، لكن من محمصة غير مقبولة!",2024-08-22 22:22:58.781000+00:00,Negative
